driverId,best_race_lap_ms,best_qualifying_ms,diff_ms
2,70516,96124.0,-25608.0
2,70516,95910.0,-25394.0
2,70516,86659.0,-16143.0
2,70516,76214.0,-5698.0
2,70516,74062.0,-3546.0
2,70516,98781.0,-28265.0
2,70516,93805.0,-23289.0
2,70516,92215.0,-21699.0
2,70516,82470.0,-11954.0
3,68491,86059.0,-17568.0
3,68491,95670.0,-27179.0
3,68491,92185.0,-23694.0
3,68491,81349.0,-12858.0
3,68491,87012.0,-18521.0
3,68491,75287.0,-6796.0
3,68491,77891.0,-9400.0
3,68491,76085.0,-7594.0
3,68491,81668.0,-13177.0
3,68491,75633.0,-7142.0
3,68491,80748.0,-12257.0
3,68491,98336.0,-29845.0
3,68491,107429.0,-38938.0
3,68491,95485.0,-26994.0
3,68491,104429.0,-35938.0
3,68491,78672.0,-10181.0
3,68491,96210.0,-27719.0
3,68491,73002.0,-4511.0
3,68491,86914.0,-18423.0
3,68491,95380.0,-26889.0
3,68491,92815.0,-24324.0
3,68491,81943.0,-13452.0
3,68491,76100.0,-7609.0
3,68491,76190.0,-7699.0
3,68491,73060.0,-4569.0
3,68491,75331.0,-6840.0
3,68491,81219.0,-12728.0
3,68491,91978.0,-23487.0
3,68491,80188.0,-11697.0
3,68491,87750.0,-19259.0
3,68491,82748.0,-14257.0
3,68491,106469.0,-37978.0
3,68491,85816.0,-17325.0
3,68491,97144.0,-28653.0
3,68491,72752.0,-4261.0
3,68491,92620.0,-24129.0
3,68491,94563.0,-26072.0
3,68491,88351.0,-19860.0
3,68491,83966.0,-15475.0
3,68491,91194.0,-22703.0
3,68491,75804.0,-7313.0
3,68491,73909.0,-5418.0
3,68491,81567.0,-13076.0
3,68491,75269.0,-6778.0
3,68491,73506.0,-5015.0
3,68491,75926.0,-7435.0
3,68491,75380.0,-6889.0
3,68491,82084.0,-13593.0
3,68491,88386.0,-19895.0
3,68491,82203.0,-13712.0
3,68491,107419.0,-38928.0
3,68491,90321.0,-21830.0
3,68491,71679.0,-3188.0
3,68491,85123.0,-16632.0
3,68491,94547.0,-26056.0
3,68491,95809.0,-27318.0
3,68491,93166.0,-24675.0
3,68491,80256.0,-11765.0
3,68491,74846.0,-6355.0
3,68491,87418.0,-18927.0
3,68491,78591.0,-10100.0
3,68491,91598.0,-23107.0
3,68491,80793.0,-12302.0
3,68491,98346.0,-29855.0
3,68491,105047.0,-36556.0
3,68491,84121.0,-15630.0
3,68491,106197.0,-37706.0
3,68491,91286.0,-22795.0
3,68491,80326.0,-11835.0
3,68491,100661.0,-32170.0
3,68491,114682.0,-46191.0
3,68491,84788.0,-16297.0
3,68491,107417.0,-38926.0
3,68491,94923.0,-26432.0
3,68491,81408.0,-12917.0
3,68491,74375.0,-5884.0
3,68491,86952.0,-18461.0
3,68491,76001.0,-7510.0
3,68491,98627.0,-30136.0
3,68491,90625.0,-22134.0
3,68491,75018.0,-6527.0
3,68491,80811.0,-12320.0
3,68491,107885.0,-39394.0
3,68491,83027.0,-14536.0
3,68491,106443.0,-37952.0
